"appropriation_category","appropriation code","appropriation activity","branch","fiscal_year_start","fiscal_year_end","budget_activity_number","budget_activity_title","pem","budget_title","program_base_congressional","program_base_dod","reprogramming_amount","revised_program_total","explanation","file"
"Weapons Procurement","","","","2016","2014","01","Ballistic Missiles","0604786N","Yes","16","18","01","1,089,064","Funds are required to maintain the MK5 ALT 370 First Production Unit (FPU) schedule of December 2019. Funding will enable the Navy to begin initial procurements of Thermal Battery and electronics components. The program is closely coordinated with the Department of Energy (DOE) and other Air Force reentry programs and critical to the SSBN operational availability. This is a congressional special interest item. This is a base budget requirement.","16-14_PA_March_2016_Request.pdf"
"Procurement","","","","2014","2014","05","Modification of Inservice Aircraft","0303001F","Yes","16","18","05","130","Funds are required to complete procurement and installation of fire suppression modifications for seven HC-130H aircraft for the Retardant Delivery System (RDS) program to comply with section 1098 of the National Defense Authorization Act (NDAA) for FY 2014, Public Law 113-66. Section 1098 required the Department of Defense to modify seven HC-130H aircraft, which were transferred from the Department of Homeland Security (U.S. Coast Guard), for fire suppression purposes and subsequent transfer to the Department of Agriculture for use by the U.S. Forest Service. In FY 2014, the Department reprogrammed $130.0 million via reprogramming actions (FY 14-04 PA (HC-130H Aircraft Request, dated April 8, 2014) and FY 14-06 PA (HC-130H Aircraft Request, dated April 30, 2014)) to support the RDS requirement. However, subsequent to those actions, the program experienced a 1-year delay due to a protest of the Request for Proposal. As a result, the FY 2014 funds will expire prior to contract obligation; therefore, FY 2016 funding is now required to complete the C-130 RDS program by 2018. This is a base budget requirement.","16-14_PA_March_2016_Request.pdf"
"","","","","2016","2014","01","Major Equipment","","Yes","42,005","16","18","01","Funds ($20.2 million) are realigned within the Terminal High Altitude Area Defense (THAAD) program to increase the interceptor quantity from 34 to 36. Funds are available due to the reduction of obsolescence and training costs within the THAAD program. This action serves as","16-14_PA_March_2016_Request.pdf"
"","","","","2016","2014","01","Combat Forces","0603748N","Yes
","16","18","01","8","Funds are available due to negotiated aircraft production contract savings in the P-8 Poseidon program. The negotiated Lot 7 production contract produced savings less than the budgeted recurring flyaway cost. This is base budget funding.","16-14_PA_March_2016_Request.pdf"
"Missile Procurement","","","","2014","2014","02","Airlift Aircraft","0101125F","SAC Denied
","16","18","02","130","Funds are available because this requirement will now be financed with FY 2014 funding. This is base budget funding.","16-14_PA_March_2016_Request.pdf"
"RDTE","","","","2016","2016","02","Research, Development, Test, and Evaluation","","Yes
","16","17","02","2,121,452","Funds are available from the Defense Healthcare Management Systems Modernization (DHMSM) budget subactivity based on the current approved acquisition strategy. The current funding levels and mix of appropriations is based on a representative solution that could fulfill DHMSM requirements. In performing a rigorous acquisition process, the DHMSM program conducted a source selection among competitive bids, which resulted in the award of a contract at a reduced cost. To support development of its Acquisition Program Baseline (APB), the FY 2016 cost estimate for the DHMSM was updated to reflect the actual awarded solution, resulting in the identification of excess FY 2016 funds available in the program. This is base budget funding.","16-14_PA_March_2016_Request.pdf"
"","","","","2016","2016","04","Support Equipment and Facilities","","Lower Tier Air and Missile Defense (AMD)","34,300","15","17","44,300","Funds are required to address the directed requirement to upgrade the initial material solution associated with Joint Urgent Operational Need (JUON) SO-0010. This requirement results from continued efforts to improve the current system-of-systems detect, declare, and defeat solution against advanced Man- portable Air Defense Systems currently available on the international market. These funds will address deficiencies in capabilities by improving integration and reliability, and Space, Weight, and Power-Cooling (SWaP-C) resulting from the initial material solution to JUONS SO-0010 by implementing a Common Infrared Countermeasure (CIRCM) Quick Reaction Capability from a directed requirement. Specifically, the funds will procure CIRCM B-Kits, in the current state of maturity, to support a limited set of first deployed aircraft operating in specific theater locations. Details are classified and will be provided under separate cover. This is a new start in support of a bridging strategy to a program of record. The total cost of this new start is estimated at $233.7 million (FY 2016: $41.3 million; FY 2017: $108.7 million; FY 2018: $43.4 million; FY 2019: $17.8 million; FY 2020: $11.0 million; and FY 2021: $11.5 million). The FY 2017 funding is included in the FY 2017 President's Budget OCO request and the remaining required funding will be considered in future OCO budget requests. This is an OCO budget requirement. OUSD(C) adjusted to balance to approved sources","16-14_PA_March_2016_Request.pdf"
"RDTE","","","","","","04","Advanced Component Development and Prototypes","0603527N","","4,518","333","338","333","Funds are required for a classified program. The details are classified and will be provided under separate cover. This is a base budget requirement.","16-14_PA_March_2016_Request.pdf"
"","","","Navy","2016","2016","05","Modification of Inservice Aircraft","0307581F","Yes
","15","17","05","1","Funds are required for the Service Life Extension Program (SLEP) for B-1 engines, which need replacement due to their continuous employment in operations within the B-1 Area of Responsibility (AOR) since 2003. The entire fleet of B-1 engines has degraded hardware resulting from operation in hot/harsh desert environments. The F101 SLEP ensures engine sustainability through the B-1 service life by improving hot section durability (reduced engine operating temperature). To date, 208 engines have been funded. This funding addresses 21 of the remaining engines in the fleet (289 plus 10 spare engines for a total of 299 engines). Part I of this reprogramming addresses four (4) of these remaining engines. The 3-year pricing agreement in place with General Electric, the engine manufacturer, will expire in FY 2016. This is a base budget requirement.","16-14_PA_March_2016_Request.pdf"
"","","","","2016","2014","02","Modification of Aircraft","","Yes
","54,300","15","17","54,300","Funds are available due to a change in aircraft platform integration requirements for the Improved Data Modem which resulted in a schedule slip. This is base budget funding. HAC Denied $15.0 million","16-14_PA_March_2016_Request.pdf"
